SSIM low,SSIM source
0.3378961932968833,0.5614671329188724
0.21334826161801831,0.4418289774451188
0.46729614907250444,0.5806636097498775
0.34767638013444,0.5871297406004442
0.4367852847843696,0.5853499830323511
0.2343553450561152,0.43913560097375076
0.3154578109946029,0.4686978894589367
0.4178254435211272,0.5294432216867145
0.4117790530005605,0.5028169668491898
0.38987566380588606,0.5761446829304844
0.4253851185057311,0.5007220343187008
0.5211740835153078,0.625074350053939
0.30589386835643956,0.4963629919869325
0.2853356227579299,0.4727125111050842
0.18852192204028617,0.5322276515973542
0.30470346654719066,0.5290819458393168
0.4771315043371882,0.6191635803038943
0.42849173112655564,0.5883680028917254
0.12333978595924094,0.471265724361823
0.3714005556106645,0.5388999690977125
0.40479759584086095,0.6022988117481505
0.2986725637590343,0.5665686711074217
0.15983894618111127,0.4781636139394152
0.43063241101982014,0.5650066939269993
0.3238140781728417,0.5590422830827372
0.22341342475057427,0.42954520785134526
0.4295590186209581,0.5856730248417216
0.3323152383216448,0.5268058603192541
0.3585902823312778,0.5091527531423654
0.3426990318695727,0.43315102846662373
0.3547008098919608,0.5142002843517225
0.38326849681693176,0.48985461391027413
0.3694461090968993,0.4931178611105127
0.405682888378927,0.5214224404548067
0.3004226580826813,0.5147558809233903
0.34848180645180743,0.44196583965909647
0.3415403817606713,0.5495862041409794
0.27481018776484184,0.49254448809335094
0.3045214103141139,0.48853997230351814
0.2685916553249452,0.5082598861181933
0.2279883080216225,0.4357679394279091
0.30979711968770096,0.5095526644443787
0.29905100288287995,0.517398755925533
0.18207375461211908,0.46510745426165134
0.3144652037464977,0.5297154239059547
0.19988138237968933,0.44519161956668635
0.1892812287624804,0.47524204231236733
0.4160954668830406,0.5408754255372252
0.4011100984003279,0.48326116431344285
0.3878458481542924,0.541032847399178
