SSIM High,SSIM Low
0.22203560627079044,0.5376440547655341
0.24745269607997553,0.48979892886834175
0.11620839458466925,0.6953003383058861
0.1795136784409087,0.49556952562806433
0.1247923569388763,0.610789307646722
0.2232128330637214,0.48191381340737854
0.22303494545927624,0.6259810294340503
0.23450238566738305,0.6128205346173633
0.3421442352314629,0.6402183142249703
0.11860136138686861,0.6065861634191322
0.21440549122538785,0.7048388262558292
0.2620947205301414,0.6394286273056662
0.33313265921629315,0.448108696990825
0.1723450561544778,0.5221045852959877
0.23662833599134114,0.367565304905537
0.1878780500749727,0.4842639651205694
0.17873817745944243,0.6347101009921898
0.1657919405842627,0.5918258712939848
0.21117562799731945,0.3519727238330752
0.20508883546678447,0.5085456009813534
0.23146636913328553,0.5348148918176848
0.3262964534670315,0.37726312452768856
0.1994804037611392,0.3215287620156608
0.3748756712072198,0.5406699297306078
0.41809764457440485,0.5118284419234858
0.3411401252981825,0.4479009324022636
0.13609584970023214,0.6177621510546594
0.18541991268126523,0.5320595079330791
0.16109301436471576,0.6165329021466225
0.1845716619020207,0.5988347127385669
0.23330159536295447,0.5864610203678445
0.4197233336347957,0.6255437054313516
0.2510589256835301,0.5402311240060224
0.22315645402900397,0.6580150931532908
0.24937405087573258,0.5479636672879664
0.41833597310024134,0.6262543103456939
0.15094178407798783,0.5608749182543497
0.216036560709339,0.4985429747128547
0.19959242025425147,0.6189897589988212
0.15584406233020515,0.5186432076557981
0.28722982760488874,0.38104698037883483
0.246091135436269,0.4671688422567912
0.31496849811637045,0.4134118290461572
0.26419099639934723,0.3895997900172466
0.18784817038384183,0.5127355259237701
0.2033600946071715,0.4745365365337963
0.29452064691324226,0.37397292273619565
0.23114534690314173,0.6038821142040417
0.21156187603176244,0.6909893685778843
0.22123097837934166,0.5810166871743038
