SSIM High,SSIM Low,SSIM Source
0.40587189803810414,0.6834873468834669,0.5614671329188724
0.4716871981753783,0.6570333642894546,0.4418289774451188
0.500288788428726,0.7417975236154773,0.5806636097498775
0.5566143796924314,0.6778392268041661,0.5871297406004442
0.49769929584931605,0.7845736639705042,0.5853499830323511
0.5465617968359501,0.7492705559438279,0.43913560097375076
0.4700601462039402,0.7844349640960661,0.4686978894589367
0.49298250106197616,0.7642494841090252,0.5294432216867145
0.5591672409454824,0.6745409892869599,0.5028169668491898
0.5356640063564417,0.7488634702093956,0.5761446829304844
0.5319423764785315,0.7900017812840398,0.5007220343187008
0.49788602905088175,0.8090726985349184,0.625074350053939
0.4905394689565909,0.7516672927125688,0.4963629919869325
0.5437078406691324,0.7255714249588996,0.4727125111050842
0.5263224721537795,0.7879486220332907,0.5322276515973542
0.544534985915644,0.7141739461523607,0.5290819458393168
0.4973609448706877,0.7163901630817678,0.6191635803038943
0.5495669486647837,0.7547321249243316,0.5883680028917254
0.5900363964482344,0.7853643660128701,0.471265724361823
0.49469684696152766,0.6746244558911668,0.5388999690977125
0.5365993168881494,0.752221815059562,0.6022988117481505
0.5177588466200532,0.7912340837830665,0.5665686711074217
0.5922561403107811,0.7769775747539454,0.4781636139394152
0.5704365122306786,0.8426625824561857,0.5650066939269993
0.4832310137729399,0.6929752859224023,0.5590422830827372
0.4697909185715479,0.7526349856631186,0.42954520785134526
0.4961653285983007,0.7077750655731628,0.5856730248417216
0.49077791947309723,0.6601208589232582,0.5268058603192541
0.5202366686095551,0.7734598970019436,0.5091527531423654
0.46211055871888407,0.6998247463109647,0.43315102846662373
0.5261604225732538,0.7002508950595384,0.5142002843517225
0.4429792591482182,0.7663257768712096,0.48985461391027413
0.4795842932182454,0.7637191160911677,0.4931178611105127
0.5020550040787112,0.7041238084599183,0.5214224404548067
0.4968327364822203,0.7846735058682152,0.5147558809233903
0.43509474550663124,0.7867587279121574,0.44196583965909647
0.5223134531312064,0.6907438429431764,0.5495862041409794
0.48014352903432106,0.774673672818813,0.49254448809335094
0.5175753520027461,0.6806240435597294,0.48853997230351814
0.5816985808975917,0.6865581779858488,0.5082598861181933
0.4804931474009728,0.7781590225173008,0.4357679394279091
0.486777614051467,0.6890473813398175,0.5095526644443787
0.5148803728736747,0.7323540791516603,0.517398755925533
0.5043552732735206,0.7523407109217023,0.46510745426165134
0.5603489737534757,0.751770618314109,0.5297154239059547
0.5063429378882938,0.729989669291141,0.44519161956668635
0.5124095703836579,0.7005826689895679,0.47524204231236733
0.5473392655982271,0.7429806088329954,0.5408754255372252
0.4860647097427678,0.7322062382016575,0.48326116431344285
0.5383858180649076,0.7562139479784022,0.541032847399178
